rank,team_name,gp,pts,fgm,fga,fg_pct,three_pm,three_pa,three_pct,ftm,fta,ft_pct,or,dr,reb,ast,stl,blk,to,pf
19,UT Martin Skyhawks,20,72.9,24.5,56.8,43.2,7.9,25.3,31.3,16.0,23.5,67.9,14.0,27.5,41.5,13.5,8.8,4.8,15.0,17.2
20,UAB Blazers,19,83.1,30.1,66.4,45.3,5.6,18.8,29.7,17.4,24.5,71.0,13.6,27.8,41.4,14.8,8.4,2.9,9.1,14.9
21,Winthrop Eagles,22,84.9,28.2,63.1,44.7,9.9,28.4,34.9,18.5,25.5,72.7,14.3,27.0,41.3,14.9,7.1,3.2,10.9,18.7
22,Louisville Cardinals,18,87.9,29.4,62.6,46.9,11.9,33.9,35.1,17.3,22.4,77.2,12.5,28.8,41.3,17.9,7.3,3.4,11.3,19.6
23,Wichita State Shockers,20,78.0,27.2,61.2,44.4,7.8,21.5,36.3,15.9,22.8,69.7,15.2,26.0,41.2,11.6,5.6,4.0,10.3,17.3
24,UNC Wilmington Seahawks,19,78.3,26.5,58.6,45.2,7.4,20.9,35.2,17.9,25.7,69.9,13.6,27.4,41.1,13.6,5.5,2.9,10.4,16.4
25,Mississippi State Bulldogs,19,78.8,28.4,63.9,44.4,7.6,25.2,30.3,14.3,20.8,68.9,12.5,28.4,40.9,12.6,6.1,4.6,11.2,16.1
26,Texas Longhorns,19,86.0,28.8,59.5,48.5,7.6,22.6,33.6,20.7,28.2,73.6,13.4,27.5,40.8,12.9,6.3,2.9,11.3,19.7
27,Coastal Carolina Chanticleers,20,73.4,25.4,62.0,41.0,8.5,25.3,33.6,14.1,19.3,73.1,10.5,30.4,40.8,10.8,4.7,3.4,10.5,19.3
28,North Carolina Tar Heels,19,82.4,28.6,59.3,48.2,8.7,25.6,34.1,16.5,24.5,67.5,11.7,28.9,40.7,17.1,5.8,3.7,10.2,14.9
29,California Baptist Lancers,20,73.1,25.9,59.3,43.7,5.8,18.6,31.2,15.5,21.5,72.3,14.6,25.9,40.4,11.0,5.7,2.5,12.6,18.9
30,Weber State Wildcats,19,83.3,29.3,62.7,46.8,7.6,21.4,35.5,17.1,24.1,71.0,12.6,27.7,40.4,14.7,7.6,1.9,12.1,19.6
31,Lindenwood Lions,19,79.9,29.2,62.8,46.5,5.9,19.7,29.9,15.6,23.4,66.7,13.1,27.2,40.3,15.5,9.2,4.5,13.4,16.8
32,Fordham Rams,20,71.7,27.8,61.8,45.0,6.8,23.2,29.1,9.3,13.7,68.1,13.5,26.9,40.3,14.9,6.7,2.2,11.8,15.2
33,BYU Cougars,18,86.6,30.4,62.2,48.9,8.8,25.2,35.1,17.0,22.6,75.2,12.4,27.9,40.3,15.1,8.8,4.9,11.0,14.8
34,Stephen F. Austin Lumberjacks,19,78.1,28.7,63.7,45.0,9.2,26.0,35.2,11.5,17.6,65.4,13.9,26.3,40.2,14.5,7.0,3.8,9.7,16.9
35,UC Irvine Anteaters,19,77.6,28.2,60.3,46.7,5.9,17.2,34.7,15.4,22.4,68.7,11.6,28.5,40.1,16.3,7.1,6.3,12.4,16.5
36,Duke Blue Devils,18,85.5,29.1,58.4,49.8,9.3,26.9,34.7,17.9,25.3,70.8,12.2,27.8,40.0,17.6,8.6,4.2,11.5,16.7
37,Towson Tigers,20,69.3,25.6,61.0,42.0,6.4,22.5,28.2,11.7,16.9,69.4,14.5,25.5,40.0,10.5,6.8,2.8,11.5,15.5
38,Furman Paladins,20,77.1,28.1,59.8,46.9,9.1,29.2,31.0,12.0,18.4,65.1,12.4,27.6,39.9,16.5,5.6,3.3,12.6,14.4
39,Louisiana Tech Bulldogs,18,67.7,25.1,57.9,43.3,5.5,18.9,29.0,12.1,18.8,64.0,13.1,26.7,39.8,12.1,7.1,4.3,11.5,15.7
40,Saint Mary's Gaels,21,78.8,26.4,56.6,46.7,7.5,20.1,37.4,18.4,22.8,80.8,12.0,27.7,39.7,15.3,5.7,3.4,11.1,15.7
41,Troy Trojans,20,86.7,29.7,64.5,46.0,10.4,29.0,35.8,17.0,23.2,73.1,13.0,26.8,39.7,17.0,9.2,3.4,12.5,17.7
42,Arkansas State Red Wolves,19,83.0,28.1,62.6,44.9,8.9,27.6,32.2,17.9,23.5,76.2,13.9,25.7,39.7,15.2,7.7,2.1,14.2,19.0
42,Butler Bulldogs,19,83.4,28.4,60.7,46.8,7.8,22.7,34.3,18.7,26.3,71.2,12.9,26.7,39.7,16.3,7.0,3.8,12.1,15.3
44,Kent State Golden Flashes,19,90.8,30.3,63.1,48.0,10.4,28.4,36.5,19.9,26.5,75.1,12.6,27.0,39.6,18.3,6.8,3.8,13.9,20.5
45,Baylor Bears,18,86.3,30.4,62.2,48.9,8.6,23.6,36.6,16.9,23.6,71.9,13.6,26.0,39.6,16.7,6.8,4.9,11.6,15.6
46,Georgia Tech Yellow Jackets,19,75.6,26.9,59.5,45.2,6.7,18.6,36.3,15.1,21.9,68.8,11.2,28.3,39.5,16.8,6.7,4.2,13.8,18.0
46,Saint Joseph's Hawks,19,74.4,25.7,60.8,42.3,7.5,26.3,28.6,15.4,20.3,75.9,12.7,26.8,39.5,15.2,5.8,4.9,12.4,15.0
48,Western Carolina Catamounts,18,77.1,28.2,64.3,43.8,8.1,25.3,31.8,12.7,18.3,69.4,13.9,25.6,39.5,13.3,6.7,3.0,13.2,20.2
49,Kansas Jayhawks,19,77.8,27.5,58.4,47.1,7.9,21.8,36.2,14.9,19.6,76.1,9.5,29.9,39.5,15.1,5.6,6.3,10.4,14.6
50,Mercer Bears,20,85.4,30.1,64.3,46.8,9.2,26.8,34.1,16.1,22.1,72.8,13.3,26.2,39.5,14.9,9.0,3.6,11.1,15.4
